,time,open,high,low,close,tick_volume,spread,real_volume
12215,1667851200,1.00209,1.00333,1.00179,1.00201,13184,16,0
12216,1667865600,1.00163,1.00301,1.00102,1.00131,10388,16,0
12217,1667880000,1.00132,1.00149,0.99945,0.99948,11216,16,0
12218,1667894400,0.99947,1.0007,0.99707,1.00026,26182,16,0
12219,1667908800,1.00027,1.00091,0.99845,0.99988,23625,16,0
12220,1667923200,0.99987,1.00934,0.99977,1.00875,34551,16,0
12221,1667937600,1.00875,1.00956,1.00533,1.00718,22763,16,0
12222,1667952000,1.00707,1.00842,1.00582,1.00622,16110,16,0
12223,1667966400,1.00624,1.00874,1.00624,1.00675,19574,16,0
12224,1667980800,1.00676,1.00844,1.00394,1.00461,31046,16,0
12225,1667995200,1.00461,1.00638,1.00218,1.00278,32573,16,0
12226,1668009600,1.00278,1.00856,1.00102,1.00262,42815,16,0
12227,1668024000,1.00264,1.00303,0.9992,1.00113,23136,16,0
12228,1668038400,1.00053,1.00281,1.00017,1.0023,9956,16,0
12229,1668052800,1.00231,1.00376,1.00094,1.00338,14448,16,0
12230,1668067200,1.00337,1.00421,0.99586,0.99604,28024,16,0
12231,1668081600,0.99602,1.01589,0.99347,1.01216,37352,16,0
12232,1668096000,1.0122,1.01845,1.01091,1.01418,62771,16,0
12233,1668110400,1.01426,1.0221,1.01419,1.02077,26116,16,0
12234,1668124800,1.0206,1.0206,1.01623,1.01654,20660,16,0
12235,1668139200,1.01654,1.02222,1.01654,1.02181,22204,16,0
12236,1668153600,1.02181,1.0273,1.02073,1.02683,39163,16,0
12237,1668168000,1.02683,1.03233,1.02533,1.03107,39639,16,0
12238,1668182400,1.03108,1.03442,1.0265,1.03412,45510,16,0
12239,1668196800,1.03411,1.03633,1.03372,1.03519,21321,16,0
12240,1668384000,1.03343,1.03491,1.03107,1.03267,22928,16,0
12241,1668398400,1.03268,1.03336,1.02971,1.02996,21904,16,0
12242,1668412800,1.02997,1.03498,1.02995,1.03115,31500,16,0
12243,1668427200,1.03118,1.03352,1.02705,1.0317,34901,16,0
12244,1668441600,1.03175,1.03503,1.02965,1.03348,40957,16,0
12245,1668456000,1.03348,1.03578,1.03203,1.03203,16444,16,0
12246,1668470400,1.03251,1.03283,1.03114,1.03187,12726,16,0
12247,1668484800,1.03187,1.03339,1.03128,1.03314,15871,16,0
12248,1668499200,1.03313,1.04173,1.03268,1.03998,37127,16,0
